draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
4,All Adults (18+),0.95,1.1,0.1,19644751.52879004
4,No Vaccination,0.95,1.1,0.1,12555503031.400953
5,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,5135289835.345533
5,Universal (All Ages),0.95,1.1,0.1,2586093103.926826
5,All Adults (18+),0.95,1.1,0.1,22018487.85059076
5,No Vaccination,0.95,1.1,0.1,14116502633.9515
6,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,6064995060.492657
6,Universal (All Ages),0.95,1.1,0.1,3067772439.940111
6,All Adults (18+),0.95,1.1,0.1,25876263.779303737
6,No Vaccination,0.95,1.1,0.1,16669997683.97819
7,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,5336450833.519616
7,Universal (All Ages),0.95,1.1,0.1,2711433102.039819
7,All Adults (18+),0.95,1.1,0.1,22839987.651236847
7,No Vaccination,0.95,1.1,0.1,14668779037.580267
8,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4717929882.674561
8,Universal (All Ages),0.95,1.1,0.1,2398805119.2682858
8,All Adults (18+),0.95,1.1,0.1,20216727.23775786
8,No Vaccination,0.95,1.1,0.1,12969004486.61854
9,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4447190945.265073
9,Universal (All Ages),0.95,1.1,0.1,2278242570.6585655
9,All Adults (18+),0.95,1.1,0.1,19161087.30352658
9,No Vaccination,0.95,1.1,0.1,12226558050.793072
10,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4973149776.003534
10,Universal (All Ages),0.95,1.1,0.1,2543564238.3568134
10,All Adults (18+),0.95,1.1,0.1,21458224.26984421
10,No Vaccination,0.95,1.1,0.1,13673092806.9073
1,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,6518007678.817552
1,Universal (All Ages),0.8,1.6,0.1,5636707447.660506
1,All Adults (18+),0.8,1.6,0.1,21447507.80714475
1,No Vaccination,0.8,1.6,0.1,17927292923.408806
2,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,7135973585.965984
2,Universal (All Ages),0.8,1.6,0.1,6173960036.173014
2,All Adults (18+),0.8,1.6,0.1,23492842.391667087
2,No Vaccination,0.8,1.6,0.1,19627157886.248943
3,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,7511786853.593972
3,Universal (All Ages),0.8,1.6,0.1,6539077819.276192
3,All Adults (18+),0.8,1.6,0.1,24537217.706257507
3,No Vaccination,0.8,1.6,0.1,20657643734.22671
4,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,6627599658.217064
4,Universal (All Ages),0.8,1.6,0.1,5691867441.082316
4,All Adults (18+),0.8,1.6,0.1,21723210.780622795
4,No Vaccination,0.8,1.6,0.1,18227321535.25319
5,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,7453308429.7150135
5,Universal (All Ages),0.8,1.6,0.1,6450308019.711178
5,All Adults (18+),0.8,1.6,0.1,24356644.414033443
5,No Vaccination,0.8,1.6,0.1,20496998017.60834
6,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,8804637925.3043
6,Universal (All Ages),0.8,1.6,0.1,7630830794.541035
6,All Adults (18+),0.8,1.6,0.1,28639707.507239252
6,No Vaccination,0.8,1.6,0.1,24211041010.4895
7,JCVI Spring 2025 (75+ only),0.8,1.6,0.1,7745898537.270356
7,Universal (All Ages),0.8,1.6,0.1,6723665249.101105
7,All Adults (18+),0.8,1.6,0.1,25270367.621648207
7,No Vaccination,0.8,1.6,0.1,21300938929.77729
