policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
All Adults (18+),0.9,0.0361,central,0.5,0.2,18248795.839174256
No Vaccination,0.9,0.0361,central,0.5,0.2,6124656292.25672
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.5,0.2,2231264271.1950808
Universal (All Ages),0.95,0.0361,central,0.5,0.2,886820356.6968412
All Adults (18+),0.95,0.0361,central,0.5,0.2,18248795.839174256
No Vaccination,0.95,0.0361,central,0.5,0.2,6124656292.25672
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.6,0.2,2670487369.7973366
Universal (All Ages),0.8,0.0361,central,0.6,0.2,2101077298.1368623
All Adults (18+),0.8,0.0361,central,0.6,0.2,18691834.72303267
No Vaccination,0.8,0.0361,central,0.6,0.2,7333646142.39614
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.6,0.2,2670487369.7973366
Universal (All Ages),0.9,0.0361,central,0.6,0.2,1447006192.6044521
All Adults (18+),0.9,0.0361,central,0.6,0.2,18691834.72303267
No Vaccination,0.9,0.0361,central,0.6,0.2,7333646142.39614
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.6,0.2,2670487369.7973366
Universal (All Ages),0.95,0.0361,central,0.6,0.2,1119970639.8382475
All Adults (18+),0.95,0.0361,central,0.6,0.2,18691834.72303267
No Vaccination,0.95,0.0361,central,0.6,0.2,7333646142.39614
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.7000000000000001,0.2,3109710468.3995934
Universal (All Ages),0.8,0.0361,central,0.7000000000000001,0.2,2488307512.9095345
All Adults (18+),0.8,0.0361,central,0.7000000000000001,0.2,19134873.606891077
No Vaccination,0.8,0.0361,central,0.7000000000000001,0.2,8542635992.5355625
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.7000000000000001,0.2,3109710468.3995934
Universal (All Ages),0.9,0.0361,central,0.7000000000000001,0.2,1731516452.9562807
All Adults (18+),0.9,0.0361,central,0.7000000000000001,0.2,19134873.606891077
No Vaccination,0.9,0.0361,central,0.7000000000000001,0.2,8542635992.5355625
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.7000000000000001,0.2,3109710468.3995934
Universal (All Ages),0.95,0.0361,central,0.7000000000000001,0.2,1353120922.979654
All Adults (18+),0.95,0.0361,central,0.7000000000000001,0.2,19134873.606891077
No Vaccination,0.95,0.0361,central,0.7000000000000001,0.2,8542635992.5355625
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.8,0.2,3548933567.0018487
Universal (All Ages),0.8,0.0361,central,0.8,0.2,2875537727.6822057
All Adults (18+),0.8,0.0361,central,0.8,0.2,19577912.490749486
No Vaccination,0.8,0.0361,central,0.8,0.2,9751625842.674982
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.8,0.2,3548933567.0018487
Universal (All Ages),0.9,0.0361,central,0.8,0.2,2016026713.3081088
All Adults (18+),0.9,0.0361,central,0.8,0.2,19577912.490749486
No Vaccination,0.9,0.0361,central,0.8,0.2,9751625842.674982
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.8,0.2,3548933567.0018487
Universal (All Ages),0.95,0.0361,central,0.8,0.2,1586271206.1210604
All Adults (18+),0.95,0.0361,central,0.8,0.2,19577912.490749486
No Vaccination,0.95,0.0361,central,0.8,0.2,9751625842.674982
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.9,0.2,3988156665.6041055
Universal (All Ages),0.8,0.0361,central,0.9,0.2,3262767942.454878
All Adults (18+),0.8,0.0361,central,0.9,0.2,20020951.3746079
No Vaccination,0.8,0.0361,central,0.9,0.2,10960615692.814404
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.9,0.2,3988156665.6041055
Universal (All Ages),0.9,0.0361,central,0.9,0.2,2300536973.659937
All Adults (18+),0.9,0.0361,central,0.9,0.2,20020951.3746079
No Vaccination,0.9,0.0361,central,0.9,0.2,10960615692.814404
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.9,0.2,3988156665.6041055
Universal (All Ages),0.95,0.0361,central,0.9,0.2,1819421489.262467
All Adults (18+),0.95,0.0361,central,0.9,0.2,20020951.3746079
No Vaccination,0.95,0.0361,central,0.9,0.2,10960615692.814404
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1,0.2,4427379764.206361
